"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38379-25272","TE","Eric","Eric Ebron","Ebron","1.2999999523162842","1","5700","IND@TEN","IND","TEN","","","","",""
"38379-25290","RB","Giovani","Giovani Bernard","Bernard","7.300000190734863","1","5700","SF@CIN","CIN","SF","","","","",""
"38379-70603","RB","Devin","Devin Singletary","Singletary","12.300000190734863","1","5700","BUF@NYG","BUF","NYG","","","","",""
"38379-53303","RB","Matt","Matt Breida","Breida","3.700000047683716","1","5600","SF@CIN","SF","CIN","","","","",""
"38379-28744","RB","Raheem","Raheem Mostert","Mostert","4.5","1","5600","SF@CIN","SF","CIN","","","","",""
"38379-42142","RB","Jordan","Jordan Howard","Howard","6.5","1","5600","PHI@ATL","PHI","ATL","","","","",""
"38379-11505","WR","Emmanuel","Emmanuel Sanders","Sanders","17.100000381469727","1","5600","CHI@DEN","DEN","CHI","","","","",""
"38379-32045","TE","Vance","Vance McDonald","McDonald","5","1","5600","SEA@PIT","PIT","SEA","","","","",""
"38379-56698","WR","Dante","Dante Pettis","Pettis","1.2000000476837158","1","5600","SF@CIN","SF","CIN","","","","",""
"38379-28080","WR","Devin","Devin Funchess","Funchess","4.699999809265137","1","5600","IND@TEN","IND","TEN","IR","Collarbone","","",""
"38379-40647","WR","Marquez","Marquez Valdes-Scantling","Valdes-Scantling","7.199999809265137","1","5600","MIN@GB","GB","MIN","","","","",""
"38379-41741","WR","DaeSean","DaeSean Hamilton","Hamilton","1.5","1","5600","CHI@DEN","DEN","CHI","","","","",""
"38379-63591","RB","Ronald","Ronald Jones II","Jones II","9.800000190734863","1","5500","TB@CAR","TB","CAR","","","","",""
"38379-27771","WR","Cody","Cody Latimer","Latimer","8.899999618530273","1","5500","BUF@NYG","NYG","BUF","","","","",""
"38379-30989","RB","Kenyan","Kenyan Drake","Drake","3.700000047683716","1","5500","NE@MIA","MIA","NE","","","","",""
