,Actual_Points,sdPts
756,5.3,0.6
757,4.2,0.7
894,3.9,1.0

57,4.3,1.4
94,6.1,1.5
95,6.9,1.6
110,10.1,1.4
136,11.1,2.0
137,13.3,2.2
174,5.8,2.2
235,13.9,2.4
251,5.1,2.3
257,13.3,1.9
278,19.8,2.0
315,6.4,3.2
320,6.6,0.7
343,8.1,1.3
357,15.4,0.7
486,5.9,0.7
571,4.1,0.8
575,19.1,0.8
604,4.9,0.7
619,4.9,0.9
621,5.2,1.7
624,4.9,0.5
674,6.2,0.7
702,4.4,1.1
798,8.5,0.9
813,3.5,1.0

47,20.6,2.2
93,20.3,1.4
96,7.8,1.4
126,12.2,2.2
142,6.5,2.1
149,14.2,2.0
171,5.7,2.1
195,10.8,2.2
211,3.4,1.8
222,3.8,2.1
246,7.2,1.2
260,8.1,1.8
279,4.5,1.6
296,12.9,2.7
310,11.5,1.5
315,12.7,0.9
358,4.7,1.6
365,4.1,1.2
367,20.7,0.7
381,11.9,0.7
421,7.2,1.3
479,10.2,1.3
585,7.1,0.9
617,4.4,0.7
653,11.0,1.0
722,4.3,0.9
731,4.0,0.4
745,3.2,0.7
758,10.0,0.9
773,3.6,0.7
842,3.1,0.6
908,4.3,0.3
985,5.1,0.4

71,18.9,1.7
116,13.5,1.9
161,5.1,1.0
262,12.9,2.1
275,10.7,1.5
287,12.3,1.4
292,7.0,2.2
312,11.3,0.9
368,4.0,1.1
430,3.1,0.8
437,14.3,1.4
451,8.2,1.1
487,3.9,1.2
506,7.2,0.8
518,14.6,1.0
571,5.6,0.9
590,3.3,0.6
653,8.9,0.5
658,26.2,1.1
687,4.3,1.3
698,12.8,1.0
714,6.6,0.9
780,12.2,0.9
896,6.7,0.1

61,10.0,1.3
93,20.9,2.2
98,10.6,1.9
148,8.1,2.2
152,3.6,1.2
198,6.6,0.7
200,13.7,1.9
215,6.1,2.0
223,6.9,2.5
241,4.4,1.3
247,9.2,1.9
257,16.0,2.3
287,5.2,1.9
331,3.7,0.7
355,3.1,1.0
