,Actual_Points,sdPts
253,4.2,2.6
285,12.1,2.0
292,5.0,2.2
310,9.3,0.9
335,9.5,1.6
342,4.0,0.8
365,3.7,1.3
371,4.2,0.8
379,3.1,1.2
385,6.9,1.5
661,7.2,0.6
745,4.9,0.5

5,16.9,1.2
9,31.6,3.1
14,32.6,0.8
21,30.2,1.4
22,13.2,1.1
26,18.8,1.3
27,25.8,0.7
31,4.8,1.5
32,25.3,1.6
41,15.5,0.8
44,9.4,1.3
49,4.0,2.3
50,11.2,1.7
52,5.8,1.5
56,5.9,1.6
57,7.6,1.7
59,30.1,1.3
73,5.5,1.8
78,16.7,1.8
82,4.9,1.6
89,7.4,1.3
91,6.5,1.6
94,10.4,1.4
96,5.2,0.9
111,20.2,2.2
123,5.0,1.2
165,3.9,1.7
200,6.9,0.9
220,10.2,1.6
222,12.9,1.1
224,25.1,1.1
226,6.4,1.4
250,7.4,1.0
276,14.2,1.2
341,8.2,1.2
348,3.9,1.4
366,6.4,1.5
371,7.1,0.9
389,12.9,2.2
409,10.0,1.5
422,7.1,0.8
448,3.9,1.5
467,14.6,1.3
561,10.1,0.7
626,8.3,0.8
662,3.9,0.3
758,3.8,1.2

1,10.9,1.9
9,17.3,1.7
11,34.2,1.7
14,29.6,1.1
15,18.6,0.9
19,18.6,1.3
21,14.0,1.2
23,15.9,1.2
28,7.9,0.7
37,21.1,1.9
43,24.8,1.4
48,12.7,1.7
51,10.0,1.1
53,16.7,1.5
60,24.6,1.6
61,7.8,1.3
62,3.7,2.0
64,17.1,1.8
67,13.4,1.6
70,12.3,1.4
80,22.3,2.1
83,12.3,1.4
104,4.5,1.0
121,7.0,1.7
126,6.3,1.9
138,18.0,1.3
168,14.7,1.7
203,4.6,1.9
209,6.0,1.0
228,5.5,1.0
229,3.2,1.3
256,10.8,1.1
276,7.9,1.3
284,9.5,1.0
303,3.9,0.8
308,4.2,1.3
344,4.5,0.5
349,4.6,0.6
451,4.6,1.1
623,4.4,2.1
693,9.0,0.4
695,4.5,0.6
744,3.9,0.6
884,19.5,0.6

2,10.3,2.0
15,22.8,1.1
17,29.7,1.1
19,41.2,1.3
21,9.5,1.1
23,19.6,1.5
25,8.9,1.5
28,26.3,0.9
32,24.3,1.4
36,19.0,0.9
43,15.5,1.7
44,10.6,0.8
45,7.6,1.0
46,16.8,1.7
49,17.0,1.2
53,21.5,1.1
55,15.1,2.1
62,9.8,0.7
64,23.2,1.4
73,5.4,1.4
74,13.3,1.5
75,11.8,1.7
76,16.4,1.2
77,8.3,1.7
85,15.4,2.0
96,5.8,1.2
98,13.3,2.2
104,7.6,1.2
117,8.2,2.2
123,7.5,1.5
134,24.1,0.8
150,4.4,1.6
198,9.5,1.6
199,3.1,1.1
202,22.8,2.0
232,14.7,1.5
238,21.3,1.3
294,3.9,1.6
326,6.0,0.9
392,3.3,2.4
449,4.3,1.1
453,6.7,0.8
562,11.1,1.0
582,10.6,1.3
662,3.3,1.9
806,8.2,0.7
822,3.3,0.7
872,7.9,1.0
1141,5.7,0.3
1144,9.8,0.3
1242,3.3,0.1

6,30.0,1.4
10,26.6,0.9
18,22.6,1.4
21,16.1,0.9
22,11.2,1.0
26,20.9,0.6
28,13.2,1.3
30,28.4,1.4
31,7.7,1.3
33,11.7,1.4
34,14.7,1.0
41,6.8,0.7
46,10.5,1.1
61,7.2,2.0
62,12.0,1.0
68,12.3,1.3
69,8.2,1.7
70,3.8,1.6
74,8.5,1.5
76,15.8,1.3
78,7.5,1.9
79,14.6,1.5
82,15.3,1.3
83,3.8,1.3
89,28.6,1.7
96,8.4,1.1
97,4.4,1.3
102,10.0,2.0
106,8.5,2.1
111,11.7,1.1
114,8.5,1.3
121,11.4,0.9
146,3.6,1.2
160,11.5,1.6
168,6.1,2.3
178,7.3,1.3
179,12.7,1.1
277,12.1,0.8
326,3.6,1.7
345,10.0,0.6
376,14.7,1.6
408,5.4,1.2
476,7.6,0.8
492,8.0,1.0
493,8.9,0.9
541,5.5,1.4
568,12.5,1.1
646,8.2,1.4
699,4.7,1.4
758,5.2,1.1
794,3.5,0.9
815,19.6,0.5
901,3.3,0.8
919,10.0,0.4
920,10.0,0.4
1028,6.9,0.3
1029,6.9,0.3
1141,13.9,0.3
1244,6.0,0.3
1248,4.3,0.2

9,25.2,1.1
11,7.3,1.0
13,25.1,1.1
16,13.2,1.0
20,27.7,1.3
26,16.3,1.5
29,13.1,1.4
31,18.1,1.2
33,5.1,1.1
40,10.1,1.9
49,22.3,1.6
50,13.7,1.3
51,5.7,1.3
54,16.4,2.1
61,3.8,1.4
62,11.8,1.1
63,16.8,1.7
66,6.7,2.1
67,12.7,1.8
68,12.7,1.8
74,10.9,1.6
78,15.0,1.6
79,15.4,1.5
87,3.6,1.2
92,4.5,1.9
96,9.3,1.5
107,4.6,1.5
118,9.2,1.1
126,10.8,1.6
137,14.4,1.1
139,4.9,0.9
159,7.7,1.2
165,4.1,3.0
191,12.1,1.4
223,47.8,1.4
240,7.8,1.5
249,3.4,0.6
262,6.4,2.0
274,5.3,1.1
330,15.8,0.8
352,3.6,1.0
366,3.2,0.4
376,8.9,0.7
463,8.1,1.6
